# Pathway	H9.humann2_Abundance
PWY-7210: pyrimidine deoxyribonucleotides biosynthesis from CTP|g__Corynebacterium.s__Corynebacterium_amycolatum	3.9618899576
PWY-7210: pyrimidine deoxyribonucleotides biosynthesis from CTP|g__Gordonia.s__Gordonia_otitidis	3.9612676056
PWY-7210: pyrimidine deoxyribonucleotides biosynthesis from CTP|g__Corynebacterium.s__Corynebacterium_aurimucosum	3.9165162810
PWY-7210: pyrimidine deoxyribonucleotides biosynthesis from CTP|g__Enhydrobacter.s__Enhydrobacter_aerosaccus	3.1225891775
PWY-7210: pyrimidine deoxyribonucleotides biosynthesis from CTP|g__Stenotrophomonas.s__Stenotrophomonas_maltophilia	2.3474178404
PWY-1042: glycolysis IV (plant cytosol)	143.4162492463
PWY-1042: glycolysis IV (plant cytosol)|unclassified	46.8378631839
PWY-1042: glycolysis IV (plant cytosol)|g__Lactobacillus.s__Lactobacillus_crispatus	28.1662816042
PWY-1042: glycolysis IV (plant cytosol)|g__Propionibacterium.s__Propionibacterium_acnes	14.6931940610
PWY-1042: glycolysis IV (plant cytosol)|g__Lactobacillus.s__Lactobacillus_iners	8.5169618647
PWY-1042: glycolysis IV (plant cytosol)|g__Corynebacterium.s__Corynebacterium_tuberculostearicum	4.5637758000
PWY-1042: glycolysis IV (plant cytosol)|g__Eubacterium.s__Eubacterium_rectale	3.8014317213
PWY-1042: glycolysis IV (plant cytosol)|g__Bacteroides.s__Bacteroides_vulgatus	1.9977597675
PWY-1042: glycolysis IV (plant cytosol)|g__Blautia.s__Ruminococcus_obeum	1.9662827642
PWY-1042: glycolysis IV (plant cytosol)|g__Bacteroides.s__Bacteroides_uniformis	1.8925626341
PWY-1042: glycolysis IV (plant cytosol)|g__Corynebacterium.s__Corynebacterium_pseudogenitalium	1.8304388817
PWY-1042: glycolysis IV (plant cytosol)|g__Corynebacterium.s__Corynebacterium_aurimucosum	1.7924864429
PWY-1042: glycolysis IV (plant cytosol)|g__Finegoldia.s__Finegoldia_magna	1.5455950541
PWY-1042: glycolysis IV (plant cytosol)|g__Bacteroides.s__Bacteroides_massiliensis	0.9891196835
PWY-1042: glycolysis IV (plant cytosol)|g__Anaerococcus.s__Anaerococcus_hydrogenalis	0.9726219967
PWY-1042: glycolysis IV (plant cytosol)|g__Kocuria.s__Kocuria_rhizophila	0.8438821959
PWY-7055: daphnetin modification	138.7816523403
PWY-7055: daphnetin modification|unclassified	59.6600318009
PWY-7055: daphnetin modification|g__Corynebacterium.s__Corynebacterium_pseudogenitalium	10.4625254461
PWY-7055: daphnetin modification|g__Corynebacterium.s__Corynebacterium_tuberculostearicum	4.8345438101
PWY-7055: daphnetin modification|g__Corynebacterium.s__Corynebacterium_amycolatum	4.6425255339
PWY-7055: daphnetin modification|g__Staphylococcus.s__Staphylococcus_epidermidis	4.2651318044
PWY-7055: daphnetin modification|g__Acinetobacter.s__Acinetobacter_pittii_calcoaceticus_nosocomialis	4.0997055565
PWY-7055: daphnetin modification|g__Corynebacterium.s__Corynebacterium_aurimucosum	4.0171137057
PWY-7055: daphnetin modification|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	3.9689260513
PWY-7055: daphnetin modification|g__Staphylococcus.s__Staphylococcus_caprae_capitis	3.5960191110
PWY-7055: daphnetin modification|g__Gordonia.s__Gordonia_otitidis	2.8111525242
PWY-7055: daphnetin modification|g__Pseudomonas.s__Pseudomonas_putida	2.4588535617
PWY-7055: daphnetin modification|g__Corynebacterium.s__Corynebacterium_massiliense	2.1058201148
PWY-7055: daphnetin modification|g__Corynebacterium.s__Corynebacterium_jeikeium	1.2180267966
PWY-7219: adenosine ribonucleotides de novo biosynthesis	136.8801843521
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Lactobacillus.s__Lactobacillus_crispatus	35.3895099700
PWY-7219: adenosine ribonucleotides de novo biosynthesis|unclassified	23.5447372388
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Staphylococcus.s__Staphylococcus_epidermidis	4.1326877613
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Finegoldia.s__Finegoldia_magna	3.7140461683
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Staphylococcus.s__Staphylococcus_hominis	3.3893317592
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Enhydrobacter.s__Enhydrobacter_aerosaccus	3.0802973383
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Methylobacterium.s__Methylobacterium_extorquens	2.1395024226
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Acinetobacter.s__Acinetobacter_johnsonii	1.7658832367
PWY-7228: superpathway of guanosine nucleotides de novo biosynthesis I	133.3921604894
PWY-7228: superpathway of guanosine nucleotides de novo biosynthesis I|unclassified	35.4124686536
PWY-7228: superpathway of guanosine nucleotides de novo biosynthesis I|g__Corynebacterium.s__Corynebacterium_amycolatum	1.8119719276
PWY-7228: superpathway of guanosine nucleotides de novo biosynthesis I|g__Gordonia.s__Gordonia_otitidis	1.5452412293
PWY-7077: N-acetyl-D-galactosamine degradation	133.1426746633
PWY-7077: N-acetyl-D-galactosamine degradation|g__Lactobacillus.s__Lactobacillus_crispatus	38.1944444444
PWY-7077: N-acetyl-D-galactosamine degradation|unclassified	25.3946208982
PWY-7077: N-acetyl-D-galactosamine degradation|g__Staphylococcus.s__Staphylococcus_epidermidis	25.3076733405
PWY-7077: N-acetyl-D-galactosamine degradation|g__Lactobacillus.s__Lactobacillus_iners	9.0909090909
PWY-7077: N-acetyl-D-galactosamine degradation|g__Staphylococcus.s__Staphylococcus_caprae_capitis	5.8344803750
PWY-7077: N-acetyl-D-galactosamine degradation|g__Anaerococcus.s__Anaerococcus_prevotii	4.3724664341
PWY-7077: N-acetyl-D-galactosamine degradation|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	4.1568675681
PWY-7077: N-acetyl-D-galactosamine degradation|g__Staphylococcus.s__Staphylococcus_hominis	3.3615608671
PWY-7077: N-acetyl-D-galactosamine degradation|g__Finegoldia.s__Finegoldia_magna	2.9452516272
PWY-7077: N-acetyl-D-galactosamine degradation|g__Streptococcus.s__Streptococcus_thermophilus	2.5390330740
PWY-7077: N-acetyl-D-galactosamine degradation|g__Staphylococcus.s__Staphylococcus_lugdunensis	2.4862040625
PWY-7077: N-acetyl-D-galactosamine degradation|g__Corynebacterium.s__Corynebacterium_tuberculostearicum	2.4268391475
PWY-7077: N-acetyl-D-galactosamine degradation|g__Streptococcus.s__Streptococcus_salivarius	2.1408361935
PWY-7077: N-acetyl-D-galactosamine degradation|g__Lactobacillus.s__Lactobacillus_jensenii	2.0592057372
PWY-7077: N-acetyl-D-galactosamine degradation|g__Corynebacterium.s__Corynebacterium_pseudogenitalium	1.4717963301
PWY-7077: N-acetyl-D-galactosamine degradation|g__Blautia.s__Ruminococcus_torques	1.0319917441
PWY-7077: N-acetyl-D-galactosamine degradation|g__Lactobacillus.s__Lactobacillus_gasseri	1.0025062657
PWY-7077: N-acetyl-D-galactosamine degradation|g__Stenotrophomonas.s__Stenotrophomonas_maltophilia	0.3559322723
PWY-7077: N-acetyl-D-galactosamine degradation|g__Streptococcus.s__Streptococcus_vestibularis	0.2286236854
PWY-5981: CDP-diacylglycerol biosynthesis III	120.5283301523
PWY-5981: CDP-diacylglycerol biosynthesis III|unclassified	31.7774023550
PWY-5981: CDP-diacylglycerol biosynthesis III|g__Lactobacillus.s__Lactobacillus_crispatus	16.3822525597
PWY-5981: CDP-diacylglycerol biosynthesis III|g__Staphylococcus.s__Staphylococcus_epidermidis	7.4600767798
PWY-5981: CDP-diacylglycerol biosynthesis III|g__Methylobacterium.s__Methylobacterium_extorquens	5.3769920073
PWY-5981: CDP-diacylglycerol biosynthesis III|g__Corynebacterium.s__Corynebacterium_amycolatum	4.7739089114
PWY-5981: CDP-diacylglycerol biosynthesis III|g__Staphylococcus.s__Staphylococcus_hominis	4.6684840880
PWY-5981: CDP-diacylglycerol biosynthesis III|g__Gordonia.s__Gordonia_otitidis	3.5274159366
PWY-5981: CDP-diacylglycerol biosynthesis III|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	3.2167822951
PWY-5981: CDP-diacylglycerol biosynthesis III|g__Corynebacterium.s__Corynebacterium_tuberculostearicum	2.6025999918
PWY-5981: CDP-diacylglycerol biosynthesis III|g__Staphylococcus.s__Staphylococcus_lugdunensis	2.4488562688
PWY-5981: CDP-diacylglycerol biosynthesis III|g__Acinetobacter.s__Acinetobacter_pittii_calcoaceticus_nosocomialis	1.9066927264
PWY-5981: CDP-diacylglycerol biosynthesis III|g__Pseudomonas.s__Pseudomonas_putida	1.7646439714
PWY-5981: CDP-diacylglycerol biosynthesis III|g__Blautia.s__Ruminococcus_torques	1.7459529489
PWY-5981: CDP-diacylglycerol biosynthesis III|g__Staphylococcus.s__Staphylococcus_caprae_capitis	1.7393408695
PWY-5981: CDP-diacylglycerol biosynthesis III|g__Corynebacterium.s__Corynebacterium_pseudogenitalium	0.9096780305
PWY-5981: CDP-diacylglycerol biosynthesis III|g__Facklamia.s__Facklamia_ignava	0.9033423668
PWY-5981: CDP-diacylglycerol biosynthesis III|g__Corynebacterium.s__Corynebacterium_jeikeium	0.8972633468
PWY-5981: CDP-diacylglycerol biosynthesis III|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0.5132152938
PWY-7221: guanosine ribonucleotides de novo biosynthesis	120.4495986607
PWY-7221: guanosine ribonucleotides de novo biosynthesis|unclassified	33.0620333981
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Propionibacterium.s__Propionibacterium_acnes	10.5516087011
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Staphylococcus.s__Staphylococcus_epidermidis	4.2854081851
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Corynebacterium.s__Corynebacterium_amycolatum	1.4252627828
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Gordonia.s__Gordonia_otitidis	1.1841326229
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Methylobacterium.s__Methylobacterium_populi	0.9146913701
PWY-3841: folate transformations II	113.5078619014
PWY-3841: folate transformations II|unclassified	30.0292082755
PWY-3841: folate transformations II|g__Methylobacterium.s__Methylobacterium_extorquens	3.9062500000
PWY-3841: folate transformations II|g__Staphylococcus.s__Staphylococcus_epidermidis	2.2805945836
PWY-3841: folate transformations II|g__Staphylococcus.s__Staphylococcus_hominis	1.2217470984
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I	110.4319506494
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I|g__Lactobacillus.s__Lactobacillus_crispatus	24.9056983531
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I|unclassified	22.5654288574
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I|g__Enhydrobacter.s__Enhydrobacter_aerosaccus	3.7884901976
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I|g__Lactobacillus.s__Lactobacillus_iners	3.1809145129
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I|g__Staphylococcus.s__Staphylococcus_epidermidis	3.1019770683
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I|g__Corynebacterium.s__Corynebacterium_pseudogenitalium	2.2418936322
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I|g__Corynebacterium.s__Corynebacterium_tuberculostearicum	1.7356907910
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I|g__Lactobacillus.s__Lactobacillus_jensenii	1.5113045581
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I|g__Gardnerella.s__Gardnerella_vaginalis	1.3939188033
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I|g__Gordonia.s__Gordonia_otitidis	1.2420134102
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I|g__Staphylococcus.s__Staphylococcus_hominis	1.2406304827
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I|g__Pseudomonas.s__Pseudomonas_putida	1.2301104091
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I|g__Corynebacterium.s__Corynebacterium_amycolatum	1.1437140006
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I|g__Corynebacterium.s__Corynebacterium_aurimucosum	1.0101506627
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I|g__Acinetobacter.s__Acinetobacter_johnsonii	0.8688097307
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I|g__Stenotrophomonas.s__Stenotrophomonas_maltophilia	0.7474025254
PWY-6317: galactose degradation I (Leloir pathway)	108.4746345068
PWY-6317: galactose degradation I (Leloir pathway)|unclassified	31.7910016936
PWY-6317: galactose degradation I (Leloir pathway)|g__Lactobacillus.s__Lactobacillus_crispatus	27.1903323263
PWY-6317: galactose degradation I (Leloir pathway)|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	3.2775949668
PWY-6317: galactose degradation I (Leloir pathway)|g__Ruminococcus.s__Ruminococcus_bromii	1.9932426393
PWY-6317: galactose degradation I (Leloir pathway)|g__Eubacterium.s__Eubacterium_rectale	1.9665683382
PWY-6317: galactose degradation I (Leloir pathway)|g__Streptococcus.s__Streptococcus_thermophilus	1.1474469306
PWY-5041: S-adenosyl-L-methionine cycle II	99.1491675959
PWY-5041: S-adenosyl-L-methionine cycle II|unclassified	34.5752155245
PWY-5041: S-adenosyl-L-methionine cycle II|g__Corynebacterium.s__Corynebacterium_amycolatum	6.5755382580
PWY-5041: S-adenosyl-L-methionine cycle II|g__Enhydrobacter.s__Enhydrobacter_aerosaccus	6.2200024625
PWY-5041: S-adenosyl-L-methionine cycle II|g__Methylobacterium.s__Methylobacterium_extorquens	4.1988022716
PWY-5041: S-adenosyl-L-methionine cycle II|g__Gordonia.s__Gordonia_otitidis	3.2496443248
PWY-5041: S-adenosyl-L-methionine cycle II|g__Pseudomonas.s__Pseudomonas_putida	3.2094567289
PWY-5041: S-adenosyl-L-methionine cycle II|g__Acinetobacter.s__Acinetobacter_pittii_calcoaceticus_nosocomialis	3.1405066811
PWY-5041: S-adenosyl-L-methionine cycle II|g__Methylobacterium.s__Methylobacterium_populi	2.8429282161
PWY-5041: S-adenosyl-L-methionine cycle II|g__Corynebacterium.s__Corynebacterium_jeikeium	1.9249278152
PWY-5041: S-adenosyl-L-methionine cycle II|g__Micrococcus.s__Micrococcus_luteus	1.2820512821
PWY-5041: S-adenosyl-L-methionine cycle II|g__Malassezia.s__Malassezia_globosa	0.8598452279
PWY-6545: pyrimidine deoxyribonucleotides de novo biosynthesis III	92.8671786630
PWY-6545: pyrimidine deoxyribonucleotides de novo biosynthesis III|unclassified	24.3730891073
PWY-6545: pyrimidine deoxyribonucleotides de novo biosynthesis III|g__Corynebacterium.s__Corynebacterium_pseudogenitalium	9.2700776766
PWY-6545: pyrimidine deoxyribonucleotides de novo biosynthesis III|g__Corynebacterium.s__Corynebacterium_amycolatum	5.5543299286
PWY-6545: pyrimidine deoxyribonucleotides de novo biosynthesis III|g__Corynebacterium.s__Corynebacterium_tuberculostearicum	4.5898824334
PWY-6545: pyrimidine deoxyribonucleotides de novo biosynthesis III|g__Corynebacterium.s__Corynebacterium_jeikeium	3.1560232911
PWY-6545: pyrimidine deoxyribonucleotides de novo biosynthesis III|g__Anaerococcus.s__Anaerococcus_prevotii	2.7209278394
PWY-6545: pyrimidine deoxyribonucleotides de novo biosynthesis III|g__Corynebacterium.s__Corynebacterium_pyruviciproducens	2.6455026455
PWY-6545: pyrimidine deoxyribonucleotides de novo biosynthesis III|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	2.5641025641
PWY-6545: pyrimidine deoxyribonucleotides de novo biosynthesis III|g__Corynebacterium.s__Corynebacterium_aurimucosum	2.1321243669
PWY-6545: pyrimidine deoxyribonucleotides de novo biosynthesis III|g__Peptoniphilus.s__Peptoniphilus_harei	1.9871763266
PWY-6545: pyrimidine deoxyribonucleotides de novo biosynthesis III|g__Ruminococcus.s__Ruminococcus_bromii	1.2391573730
TRNA-CHARGING-PWY: tRNA charging	91.4240931651
TRNA-CHARGING-PWY: tRNA charging|unclassified	25.1259284883
CALVIN-PWY: Calvin-Benson-Bassham cycle	86.0214505638
CALVIN-PWY: Calvin-Benson-Bassham cycle|unclassified	19.4518691457
CALVIN-PWY: Calvin-Benson-Bassham cycle|g__Propionibacterium.s__Propionibacterium_acnes	16.6336446806
CALVIN-PWY: Calvin-Benson-Bassham cycle|g__Corynebacterium.s__Corynebacterium_amycolatum	3.4915097804
CALVIN-PWY: Calvin-Benson-Bassham cycle|g__Enhydrobacter.s__Enhydrobacter_aerosaccus	2.1704971107
CALVIN-PWY: Calvin-Benson-Bassham cycle|g__Pseudomonas.s__Pseudomonas_putida	2.0421378981
CALVIN-PWY: Calvin-Benson-Bassham cycle|g__Gardnerella.s__Gardnerella_vaginalis	1.1604693935
CALVIN-PWY: Calvin-Benson-Bassham cycle|g__Lactobacillus.s__Lactobacillus_jensenii	1.0964912281
TCA: TCA cycle I (prokaryotic)	83.0495177700
TCA: TCA cycle I (prokaryotic)|unclassified	28.1680302030
TCA: TCA cycle I (prokaryotic)|g__Staphylococcus.s__Staphylococcus_hominis	1.7117238933
P41-PWY: pyruvate fermentation to acetate and lactate I	82.1914777439
P41-PWY: pyruvate fermentation to acetate and lactate I|unclassified	14.4192719404
P41-PWY: pyruvate fermentation to acetate and lactate I|g__Corynebacterium.s__Corynebacterium_aurimucosum	1.4551652231
ARGSYNBSUB-PWY: arginine biosynthesis II (acetyl cycle)	80.4692315392
ARGSYNBSUB-PWY: arginine biosynthesis II (acetyl cycle)|unclassified	24.7614438469
ARGSYNBSUB-PWY: arginine biosynthesis II (acetyl cycle)|g__Propionibacterium.s__Propionibacterium_acnes	5.7885618438
ARGSYNBSUB-PWY: arginine biosynthesis II (acetyl cycle)|g__Methylobacterium.s__Methylobacterium_extorquens	5.5239375758
ARGSYNBSUB-PWY: arginine biosynthesis II (acetyl cycle)|g__Enhydrobacter.s__Enhydrobacter_aerosaccus	4.9964091418
ARGSYNBSUB-PWY: arginine biosynthesis II (acetyl cycle)|g__Staphylococcus.s__Staphylococcus_epidermidis	3.8759689922
ARGSYNBSUB-PWY: arginine biosynthesis II (acetyl cycle)|g__Corynebacterium.s__Corynebacterium_aurimucosum	2.6769419255
ARGSYNBSUB-PWY: arginine biosynthesis II (acetyl cycle)|g__Streptococcus.s__Streptococcus_thermophilus	2.5125628141
ARGSYNBSUB-PWY: arginine biosynthesis II (acetyl cycle)|g__Pseudomonas.s__Pseudomonas_putida	2.4692602574
ARGSYNBSUB-PWY: arginine biosynthesis II (acetyl cycle)|g__Gordonia.s__Gordonia_otitidis	2.2923966101
ARGSYNBSUB-PWY: arginine biosynthesis II (acetyl cycle)|g__Corynebacterium.s__Corynebacterium_jeikeium	2.1871860055
ARGSYNBSUB-PWY: arginine biosynthesis II (acetyl cycle)|g__Corynebacterium.s__Corynebacterium_amycolatum	2.1782413653
ARGSYNBSUB-PWY: arginine biosynthesis II (acetyl cycle)|g__Acinetobacter.s__Acinetobacter_pittii_calcoaceticus_nosocomialis	1.8789070832
ARGSYNBSUB-PWY: arginine biosynthesis II (acetyl cycle)|g__Methylobacterium.s__Methylobacterium_populi	1.7996125497
ARGSYNBSUB-PWY: arginine biosynthesis II (acetyl cycle)|g__Kocuria.s__Kocuria_rhizophila	1.1359596893
ARGSYNBSUB-PWY: arginine biosynthesis II (acetyl cycle)|g__Varibaculum.s__Varibaculum_cambriense	1.1138621086
ARGSYNBSUB-PWY: arginine biosynthesis II (acetyl cycle)|g__Corynebacterium.s__Corynebacterium_kroppenstedtii	0.8658008658
ARGSYNBSUB-PWY: arginine biosynthesis II (acetyl cycle)|g__Methyloversatilis.s__Methyloversatilis_universalis	0.8601362232
ARGSYNBSUB-PWY: arginine biosynthesis II (acetyl cycle)|g__Acinetobacter.s__Acinetobacter_johnsonii	0.5954227079
VALSYN-PWY: valine biosynthesis	75.8161071582
VALSYN-PWY: valine biosynthesis|unclassified	29.2554513046
VALSYN-PWY: valine biosynthesis|g__Enhydrobacter.s__Enhydrobacter_aerosaccus	3.5164153231
VALSYN-PWY: valine biosynthesis|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	1.8333486112
VALSYN-PWY: valine biosynthesis|g__Gordonia.s__Gordonia_otitidis	1.4557133093
VALSYN-PWY: valine biosynthesis|g__Acinetobacter.s__Acinetobacter_pittii_calcoaceticus_nosocomialis	1.3285504045
VALSYN-PWY: valine biosynthesis|g__Corynebacterium.s__Corynebacterium_aurimucosum	0.6994615411
PWY-5686: UMP biosynthesis	73.9443789962
PWY-5686: UMP biosynthesis|unclassified	20.8869521568
PWY-5686: UMP biosynthesis|g__Corynebacterium.s__Corynebacterium_pseudogenitalium	5.4797107456
PWY-5686: UMP biosynthesis|g__Corynebacterium.s__Corynebacterium_tuberculostearicum	2.3164776595
NONMEVIPP-PWY: methylerythritol phosphate pathway	68.2558751947
NONMEVIPP-PWY: methylerythritol phosphate pathway|unclassified	27.2798906468
NONMEVIPP-PWY: methylerythritol phosphate pathway|g__Propionibacterium.s__Propionibacterium_acnes	13.9484925793
NONMEVIPP-PWY: methylerythritol phosphate pathway|g__Methylobacterium.s__Methylobacterium_extorquens	3.4877533617
NONMEVIPP-PWY: methylerythritol phosphate pathway|g__Corynebacterium.s__Corynebacterium_tuberculostearicum	2.1413179629
DAPLYSINESYN-PWY: lysine biosynthesis I	67.7648967409
DAPLYSINESYN-PWY: lysine biosynthesis I|unclassified	15.7017837970
DAPLYSINESYN-PWY: lysine biosynthesis I|g__Propionibacterium.s__Propionibacterium_acnes	11.3122119631
DAPLYSINESYN-PWY: lysine biosynthesis I|g__Corynebacterium.s__Corynebacterium_tuberculostearicum	5.5205740861
DAPLYSINESYN-PWY: lysine biosynthesis I|g__Corynebacterium.s__Corynebacterium_amycolatum	5.1440329218
DAPLYSINESYN-PWY: lysine biosynthesis I|g__Corynebacterium.s__Corynebacterium_pseudogenitalium	3.8030303448
DAPLYSINESYN-PWY: lysine biosynthesis I|g__Corynebacterium.s__Corynebacterium_aurimucosum	3.5722593984
DAPLYSINESYN-PWY: lysine biosynthesis I|g__Enhydrobacter.s__Enhydrobacter_aerosaccus	3.4383461555
DAPLYSINESYN-PWY: lysine biosynthesis I|g__Methylobacterium.s__Methylobacterium_extorquens	3.3432837353
DAPLYSINESYN-PWY: lysine biosynthesis I|g__Pseudomonas.s__Pseudomonas_putida	2.6556142123
DAPLYSINESYN-PWY: lysine biosynthesis I|g__Acinetobacter.s__Acinetobacter_pittii_calcoaceticus_nosocomialis	2.4330900243
DAPLYSINESYN-PWY: lysine biosynthesis I|g__Corynebacterium.s__Corynebacterium_massiliense	2.0576131687
DAPLYSINESYN-PWY: lysine biosynthesis I|g__Methylobacterium.s__Methylobacterium_populi	1.5802664613
DAPLYSINESYN-PWY: lysine biosynthesis I|g__Rothia.s__Rothia_mucilaginosa	1.0351966874
PWY-6969: TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)	67.7129192057
PWY-6969: TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)|unclassified	21.3596137169
PWY-6969: TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)|g__Propionibacterium.s__Propionibacterium_acnes	12.7090765438
PWY-6969: TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)|g__Corynebacterium.s__Corynebacterium_amycolatum	4.8181161166
PWY-6969: TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)|g__Methylobacterium.s__Methylobacterium_extorquens	2.1635671664
PWY-6969: TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)|g__Methylobacterium.s__Methylobacterium_populi	2.1625798964
PWY-6969: TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)|g__Gordonia.s__Gordonia_otitidis	1.4800132144
PWY-6969: TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)|g__Stenotrophomonas.s__Stenotrophomonas_maltophilia	1.4673062696
PWY-6969: TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)|g__Corynebacterium.s__Corynebacterium_aurimucosum	1.2397912870
PWY-6969: TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)|g__Acinetobacter.s__Acinetobacter_johnsonii	1.2316759215
PWY-7383: anaerobic energy metabolism (invertebrates, cytosol)	65.6182939763
PWY-7383: anaerobic energy metabolism (invertebrates, cytosol)|unclassified	19.5873156714
PWY-7383: anaerobic energy metabolism (invertebrates, cytosol)|g__Corynebacterium.s__Corynebacterium_aurimucosum	1.7509469805
PWY-7383: anaerobic energy metabolism (invertebrates, cytosol)|g__Corynebacterium.s__Corynebacterium_jeikeium	1.1282803979
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)	63.6900288327
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|unclassified	12.8586258541
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|g__Corynebacterium.s__Corynebacterium_amycolatum	2.2328589784
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|g__Corynebacterium.s__Corynebacterium_tuberculostearicum	1.5679877530
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|g__Enhydrobacter.s__Enhydrobacter_aerosaccus	1.5488867377
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|g__Corynebacterium.s__Corynebacterium_aurimucosum	1.0884353741
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|g__Gardnerella.s__Gardnerella_vaginalis	0.9255188881
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|g__Acinetobacter.s__Acinetobacter_pittii_calcoaceticus_nosocomialis	0.8618832148
PWY-702: methionine biosynthesis II	61.2451966127
PWY-702: methionine biosynthesis II|unclassified	15.5753633675
PWY-702: methionine biosynthesis II|g__Corynebacterium.s__Corynebacterium_tuberculostearicum	5.0614353187
PWY-702: methionine biosynthesis II|g__Corynebacterium.s__Corynebacterium_pseudogenitalium	4.1238449669
PWY-702: methionine biosynthesis II|g__Methylobacterium.s__Methylobacterium_extorquens	3.5190779257
PWY-702: methionine biosynthesis II|g__Corynebacterium.s__Corynebacterium_aurimucosum	2.1750772925
PWY-702: methionine biosynthesis II|g__Methylobacterium.s__Methylobacterium_populi	0.9029509146
GLUCONEO-PWY: gluconeogenesis I	60.6005928925
GLUCONEO-PWY: gluconeogenesis I|unclassified	17.3192868539
PWY-6531: mannitol cycle	56.4390099791
PWY-6531: mannitol cycle|unclassified	16.6134036694
PWY-6531: mannitol cycle|g__Propionibacterium.s__Propionibacterium_acnes	11.8998603909
PWY-6531: mannitol cycle|g__Corynebacterium.s__Corynebacterium_tuberculostearicum	3.8286520327
PWY-6531: mannitol cycle|g__Corynebacterium.s__Corynebacterium_pseudogenitalium	2.4765140964
PWY-6531: mannitol cycle|g__Porphyromonas.s__Porphyromonas_bennonis	1.2507817386
PWY-6531: mannitol cycle|g__Bacteroides.s__Bacteroides_vulgatus	1.2165450122
PWY-6531: mannitol cycle|g__Bacteroides.s__Bacteroides_uniformis	1.2143290832
PWY-6531: mannitol cycle|g__Kocuria.s__Kocuria_rhizophila	0.9689922481
PWY-6531: mannitol cycle|g__Bacteroides.s__Bacteroides_thetaiotaomicron	0.6071645416
PWY0-301: L-ascorbate degradation I (bacterial, anaerobic)	55.7583150239
