# Pathway	A4.humann2_Abundance
PWY-7184: pyrimidine deoxyribonucleotides de novo biosynthesis I|g__Propionibacterium.s__Propionibacterium_acnes	307.1527775964
PWY-7184: pyrimidine deoxyribonucleotides de novo biosynthesis I|unclassified	91.7924366687
PWY-7184: pyrimidine deoxyribonucleotides de novo biosynthesis I|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	37.6237585905
PWY-7184: pyrimidine deoxyribonucleotides de novo biosynthesis I|g__Corynebacterium.s__Corynebacterium_tuberculostearicum	29.6586673324
PWY-7184: pyrimidine deoxyribonucleotides de novo biosynthesis I|g__Micrococcus.s__Micrococcus_luteus	18.8817542893
PWY-7184: pyrimidine deoxyribonucleotides de novo biosynthesis I|g__Corynebacterium.s__Corynebacterium_pseudogenitalium	13.9759079090
PWY-7184: pyrimidine deoxyribonucleotides de novo biosynthesis I|g__Neisseria.s__Neisseria_sicca	9.7694985406
PWY-7184: pyrimidine deoxyribonucleotides de novo biosynthesis I|g__Haemophilus.s__Haemophilus_parainfluenzae	8.9506007354
PWY-7184: pyrimidine deoxyribonucleotides de novo biosynthesis I|g__Actinomyces.s__Actinomyces_viscosus	8.9359464238
PWY-7184: pyrimidine deoxyribonucleotides de novo biosynthesis I|g__Enhydrobacter.s__Enhydrobacter_aerosaccus	8.0947352425
PWY-7184: pyrimidine deoxyribonucleotides de novo biosynthesis I|g__Corynebacterium.s__Corynebacterium_accolens	7.9853595318
PWY-7184: pyrimidine deoxyribonucleotides de novo biosynthesis I|g__Corynebacterium.s__Corynebacterium_jeikeium	7.6949871122
PWY-7184: pyrimidine deoxyribonucleotides de novo biosynthesis I|g__Actinomyces.s__Actinomyces_oris	3.8964471181
PWY-7184: pyrimidine deoxyribonucleotides de novo biosynthesis I|g__Lautropia.s__Lautropia_mirabilis	3.1746031746
PWY-7184: pyrimidine deoxyribonucleotides de novo biosynthesis I|g__Pseudomonas.s__Pseudomonas_psychrotolerans	2.9378346540
PWY-7184: pyrimidine deoxyribonucleotides de novo biosynthesis I|g__Actinomyces.s__Actinomyces_odontolyticus	2.8682684366
PWY-7184: pyrimidine deoxyribonucleotides de novo biosynthesis I|g__Haemophilus.s__Haemophilus_influenzae	1.9502059563
PWY-7184: pyrimidine deoxyribonucleotides de novo biosynthesis I|g__Pseudomonas.s__Pseudomonas_fragi	1.8477457502
PWY-7184: pyrimidine deoxyribonucleotides de novo biosynthesis I|g__Enterobacter.s__Enterobacter_cloacae	1.5790912254
PWY-7198: pyrimidine deoxyribonucleotides de novo biosynthesis IV	553.5368495342
PWY-7198: pyrimidine deoxyribonucleotides de novo biosynthesis IV|g__Propionibacterium.s__Propionibacterium_acnes	312.3015964833
PWY-7198: pyrimidine deoxyribonucleotides de novo biosynthesis IV|unclassified	88.2461883974
PWY-7198: pyrimidine deoxyribonucleotides de novo biosynthesis IV|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	35.1598383578
PWY-7198: pyrimidine deoxyribonucleotides de novo biosynthesis IV|g__Corynebacterium.s__Corynebacterium_tuberculostearicum	23.7984968348
PWY-7198: pyrimidine deoxyribonucleotides de novo biosynthesis IV|g__Micrococcus.s__Micrococcus_luteus	16.2353624984
PWY-7198: pyrimidine deoxyribonucleotides de novo biosynthesis IV|g__Corynebacterium.s__Corynebacterium_pseudogenitalium	12.1012488015
PWY-7198: pyrimidine deoxyribonucleotides de novo biosynthesis IV|g__Neisseria.s__Neisseria_sicca	9.5701033969
PWY-7198: pyrimidine deoxyribonucleotides de novo biosynthesis IV|g__Haemophilus.s__Haemophilus_parainfluenzae	8.6828437045
PWY-7198: pyrimidine deoxyribonucleotides de novo biosynthesis IV|g__Actinomyces.s__Actinomyces_viscosus	8.0578299355
PWY-7198: pyrimidine deoxyribonucleotides de novo biosynthesis IV|g__Enhydrobacter.s__Enhydrobacter_aerosaccus	7.6480141973
PWY-7198: pyrimidine deoxyribonucleotides de novo biosynthesis IV|g__Corynebacterium.s__Corynebacterium_accolens	7.3321306207
PWY-7198: pyrimidine deoxyribonucleotides de novo biosynthesis IV|g__Corynebacterium.s__Corynebacterium_jeikeium	6.7446442449
PWY-7198: pyrimidine deoxyribonucleotides de novo biosynthesis IV|g__Actinomyces.s__Actinomyces_oris	3.8964471181
PWY-7198: pyrimidine deoxyribonucleotides de novo biosynthesis IV|g__Actinomyces.s__Actinomyces_odontolyticus	2.5794176046
PWY-7198: pyrimidine deoxyribonucleotides de novo biosynthesis IV|g__Lautropia.s__Lautropia_mirabilis	2.5157232704
PWY-7198: pyrimidine deoxyribonucleotides de novo biosynthesis IV|g__Haemophilus.s__Haemophilus_influenzae	1.6516423808
PWY-7198: pyrimidine deoxyribonucleotides de novo biosynthesis IV|g__Enterobacter.s__Enterobacter_cloacae	1.2876863531
PWY-7221: guanosine ribonucleotides de novo biosynthesis	534.8978403170
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Propionibacterium.s__Propionibacterium_acnes	268.3870767555
PWY-7221: guanosine ribonucleotides de novo biosynthesis|unclassified	61.5572862005
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	16.6774931238
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Haemophilus.s__Haemophilus_parainfluenzae	7.2887936756
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Micrococcus.s__Micrococcus_luteus	6.6280033140
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Actinomyces.s__Actinomyces_oris	5.9846444850
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Staphylococcus.s__Staphylococcus_epidermidis	5.8347867449
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Streptococcus.s__Streptococcus_thermophilus	5.8027354181
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Enhydrobacter.s__Enhydrobacter_aerosaccus	3.9662610263
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Haemophilus.s__Haemophilus_influenzae	3.9436596725
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Neisseria.s__Neisseria_sicca	3.7219619375
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Actinomyces.s__Actinomyces_odontolyticus	3.0313368456
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Staphylococcus.s__Staphylococcus_haemolyticus	1.4295925661
PWY-7077: N-acetyl-D-galactosamine degradation	531.4712445478
PWY-7077: N-acetyl-D-galactosamine degradation|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	131.1840051372
PWY-7077: N-acetyl-D-galactosamine degradation|unclassified	53.7718672938
PWY-7077: N-acetyl-D-galactosamine degradation|g__Staphylococcus.s__Staphylococcus_epidermidis	49.8233720915
PWY-7077: N-acetyl-D-galactosamine degradation|g__Streptococcus.s__Streptococcus_sanguinis	35.4604858673
PWY-7077: N-acetyl-D-galactosamine degradation|g__Lactococcus.s__Lactococcus_lactis	26.9829912788
PWY-7077: N-acetyl-D-galactosamine degradation|g__Streptococcus.s__Streptococcus_salivarius	22.7587363357
PWY-7077: N-acetyl-D-galactosamine degradation|g__Haemophilus.s__Haemophilus_parainfluenzae	20.5203737175
PWY-7077: N-acetyl-D-galactosamine degradation|g__Gemella.s__Gemella_haemolysans	16.5747193186
PWY-7077: N-acetyl-D-galactosamine degradation|g__Staphylococcus.s__Staphylococcus_haemolyticus	16.3017895309
PWY-7077: N-acetyl-D-galactosamine degradation|g__Enterobacter.s__Enterobacter_cloacae	15.1148051087
PWY-7077: N-acetyl-D-galactosamine degradation|g__Staphylococcus.s__Staphylococcus_hominis	13.4716245293
PWY-7077: N-acetyl-D-galactosamine degradation|g__Streptococcus.s__Streptococcus_thermophilus	11.6287381734
PWY-7077: N-acetyl-D-galactosamine degradation|g__Haemophilus.s__Haemophilus_paraphrohaemolyticus	10.6108335959
PWY-7077: N-acetyl-D-galactosamine degradation|g__Streptococcus.s__Streptococcus_parasanguinis	9.2534151479
PWY-7077: N-acetyl-D-galactosamine degradation|g__Corynebacterium.s__Corynebacterium_tuberculostearicum	8.7351316692
PWY-7077: N-acetyl-D-galactosamine degradation|g__Staphylococcus.s__Staphylococcus_warneri	8.1672539662
PWY-7077: N-acetyl-D-galactosamine degradation|g__Pseudomonas.s__Pseudomonas_psychrotolerans	8.1312326665
PWY-7077: N-acetyl-D-galactosamine degradation|g__Escherichia.s__Escherichia_coli	7.8288685151
PWY-7077: N-acetyl-D-galactosamine degradation|g__Streptococcus.s__Streptococcus_infantis	7.5983665026
PWY-7077: N-acetyl-D-galactosamine degradation|g__Corynebacterium.s__Corynebacterium_pseudogenitalium	7.2388255666
PWY-7077: N-acetyl-D-galactosamine degradation|g__Abiotrophia.s__Abiotrophia_defectiva	5.5839865453
PWY-7077: N-acetyl-D-galactosamine degradation|g__Haemophilus.s__Haemophilus_haemolyticus	4.9409601398
PWY-7077: N-acetyl-D-galactosamine degradation|g__Staphylococcus.s__Staphylococcus_caprae_capitis	4.6920538575
PWY-7077: N-acetyl-D-galactosamine degradation|g__Lactobacillus.s__Lactobacillus_curvatus	4.0774719674
PWY-7077: N-acetyl-D-galactosamine degradation|g__Haemophilus.s__Haemophilus_influenzae	3.6764172842
PWY-7077: N-acetyl-D-galactosamine degradation|g__Streptococcus.s__Streptococcus_australis	3.5935175988
PWY-7077: N-acetyl-D-galactosamine degradation|g__Granulicatella.s__Granulicatella_elegans	3.3292413556
PWY-7077: N-acetyl-D-galactosamine degradation|g__Cardiobacterium.s__Cardiobacterium_hominis	3.0285715185
PWY-7077: N-acetyl-D-galactosamine degradation|g__Rhodopseudomonas.s__Rhodopseudomonas_palustris	2.4166402160
PWY-7077: N-acetyl-D-galactosamine degradation|g__Staphylococcus.s__Staphylococcus_aureus	2.2017130572
PWY-7077: N-acetyl-D-galactosamine degradation|g__Granulicatella.s__Granulicatella_adiacens	2.1931752991
PWY-7077: N-acetyl-D-galactosamine degradation|g__Fusobacterium.s__Fusobacterium_nucleatum	2.1363073507
PWY-7077: N-acetyl-D-galactosamine degradation|g__Gemella.s__Gemella_sanguinis	2.0325203252
PWY-7077: N-acetyl-D-galactosamine degradation|g__Lautropia.s__Lautropia_mirabilis	1.9334880124
PWY-7077: N-acetyl-D-galactosamine degradation|g__Corynebacterium.s__Corynebacterium_matruchotii	1.4705882353
PWY-7077: N-acetyl-D-galactosamine degradation|g__Finegoldia.s__Finegoldia_magna	1.0683760684
PWY-7077: N-acetyl-D-galactosamine degradation|g__Fusobacterium.s__Fusobacterium_periodonticum	1.0675213675
PWY-7077: N-acetyl-D-galactosamine degradation|g__Streptococcus.s__Streptococcus_gordonii	0.9869232667
PWY-7077: N-acetyl-D-galactosamine degradation|g__Streptococcus.s__Streptococcus_cristatus	0.6966513273
PWY-7077: N-acetyl-D-galactosamine degradation|g__Corynebacterium.s__Corynebacterium_durum	0.4714757190
PWY-7228: superpathway of guanosine nucleotides de novo biosynthesis I	523.8751360316
PWY-7228: superpathway of guanosine nucleotides de novo biosynthesis I|unclassified	70.5029493701
PWY-7228: superpathway of guanosine nucleotides de novo biosynthesis I|g__Haemophilus.s__Haemophilus_parainfluenzae	7.9709411048
PWY-7228: superpathway of guanosine nucleotides de novo biosynthesis I|g__Micrococcus.s__Micrococcus_luteus	7.0530511877
PWY-7228: superpathway of guanosine nucleotides de novo biosynthesis I|g__Enhydrobacter.s__Enhydrobacter_aerosaccus	4.9200426830
PWY-7228: superpathway of guanosine nucleotides de novo biosynthesis I|g__Neisseria.s__Neisseria_sicca	4.1132798716
PWY-7228: superpathway of guanosine nucleotides de novo biosynthesis I|g__Actinomyces.s__Actinomyces_oris	4.1012590492
PWY-7228: superpathway of guanosine nucleotides de novo biosynthesis I|g__Actinomyces.s__Actinomyces_odontolyticus	3.2246507972
PWY-7228: superpathway of guanosine nucleotides de novo biosynthesis I|g__Haemophilus.s__Haemophilus_influenzae	1.7506561941
PWY-1042: glycolysis IV (plant cytosol)	515.1683830420
PWY-1042: glycolysis IV (plant cytosol)|g__Propionibacterium.s__Propionibacterium_acnes	303.9181964995
PWY-1042: glycolysis IV (plant cytosol)|unclassified	56.1661356787
PWY-1042: glycolysis IV (plant cytosol)|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	35.5969667826
PWY-1042: glycolysis IV (plant cytosol)|g__Streptococcus.s__Streptococcus_sanguinis	18.9783727668
PWY-1042: glycolysis IV (plant cytosol)|g__Micrococcus.s__Micrococcus_luteus	17.2879045702
PWY-1042: glycolysis IV (plant cytosol)|g__Gemella.s__Gemella_haemolysans	10.6179309917
PWY-1042: glycolysis IV (plant cytosol)|g__Corynebacterium.s__Corynebacterium_tuberculostearicum	10.2575469802
PWY-1042: glycolysis IV (plant cytosol)|g__Lactococcus.s__Lactococcus_lactis	9.2050788060
PWY-1042: glycolysis IV (plant cytosol)|g__Actinomyces.s__Actinomyces_oris	8.8824683352
PWY-1042: glycolysis IV (plant cytosol)|g__Haemophilus.s__Haemophilus_parainfluenzae	8.8380034147
PWY-1042: glycolysis IV (plant cytosol)|g__Corynebacterium.s__Corynebacterium_pseudogenitalium	7.9889448779
PWY-1042: glycolysis IV (plant cytosol)|g__Abiotrophia.s__Abiotrophia_defectiva	7.5075832133
PWY-1042: glycolysis IV (plant cytosol)|g__Streptococcus.s__Streptococcus_thermophilus	7.0884138667
PWY-1042: glycolysis IV (plant cytosol)|g__Streptococcus.s__Streptococcus_infantis	6.1019175017
PWY-1042: glycolysis IV (plant cytosol)|g__Actinomyces.s__Actinomyces_odontolyticus	5.2015604681
PWY-1042: glycolysis IV (plant cytosol)|g__Staphylococcus.s__Staphylococcus_epidermidis	5.1086255216
PWY-1042: glycolysis IV (plant cytosol)|g__Streptococcus.s__Streptococcus_salivarius	4.9540038501
PWY-1042: glycolysis IV (plant cytosol)|g__Actinomyces.s__Actinomyces_viscosus	4.1380459067
PWY-1042: glycolysis IV (plant cytosol)|g__Corynebacterium.s__Corynebacterium_accolens	4.1001191180
PWY-1042: glycolysis IV (plant cytosol)|g__Granulicatella.s__Granulicatella_elegans	3.9494941530
PWY-1042: glycolysis IV (plant cytosol)|g__Propionibacterium.s__Propionibacterium_avidum	3.8013951072
PWY-1042: glycolysis IV (plant cytosol)|g__Corynebacterium.s__Corynebacterium_aurimucosum	3.7272160899
PWY-1042: glycolysis IV (plant cytosol)|g__Streptococcus.s__Streptococcus_parasanguinis	3.1069561282
PWY-1042: glycolysis IV (plant cytosol)|g__Haemophilus.s__Haemophilus_paraphrohaemolyticus	2.4316109422
PWY-1042: glycolysis IV (plant cytosol)|g__Actinomyces.s__Actinomyces_johnsonii	2.2111584172
PWY-1042: glycolysis IV (plant cytosol)|g__Enterobacter.s__Enterobacter_cloacae	2.1005760823
PWY-1042: glycolysis IV (plant cytosol)|g__Corynebacterium.s__Corynebacterium_jeikeium	2.0431514845
PWY-1042: glycolysis IV (plant cytosol)|g__Actinomyces.s__Actinomyces_naeslundii	1.7715139563
PWY-1042: glycolysis IV (plant cytosol)|g__Lactobacillus.s__Lactobacillus_curvatus	1.7271157168
PWY-1042: glycolysis IV (plant cytosol)|g__Haemophilus.s__Haemophilus_haemolyticus	1.4076627008
PWY-1042: glycolysis IV (plant cytosol)|g__Rothia.s__Rothia_aeria	1.2795905310
PWY-1042: glycolysis IV (plant cytosol)|g__Prevotella.s__Prevotella_melaninogenica	1.1958146487
PWY-1042: glycolysis IV (plant cytosol)|g__Escherichia.s__Escherichia_coli	0.8107834195
PWY-7055: daphnetin modification	514.6477770921
PWY-7055: daphnetin modification|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	113.6665115040
PWY-7055: daphnetin modification|unclassified	111.6225718057
PWY-7055: daphnetin modification|g__Streptococcus.s__Streptococcus_sanguinis	43.7061872072
PWY-7055: daphnetin modification|g__Corynebacterium.s__Corynebacterium_tuberculostearicum	30.2839037424
PWY-7055: daphnetin modification|g__Corynebacterium.s__Corynebacterium_pseudogenitalium	30.2267547277
PWY-7055: daphnetin modification|g__Haemophilus.s__Haemophilus_parainfluenzae	15.4225906515
PWY-7055: daphnetin modification|g__Streptococcus.s__Streptococcus_thermophilus	14.3476762020
PWY-7055: daphnetin modification|g__Lactococcus.s__Lactococcus_lactis	12.8738180175
PWY-7055: daphnetin modification|g__Corynebacterium.s__Corynebacterium_accolens	11.7838037779
PWY-7055: daphnetin modification|g__Staphylococcus.s__Staphylococcus_epidermidis	4.5062664804
PWY-7055: daphnetin modification|g__Corynebacterium.s__Corynebacterium_aurimucosum	4.4723305941
PWY-7055: daphnetin modification|g__Corynebacterium.s__Corynebacterium_durum	3.4965684910
PWY-7055: daphnetin modification|g__Streptococcus.s__Streptococcus_infantis	3.3418535659
PWY-7055: daphnetin modification|g__Streptococcus.s__Streptococcus_salivarius	2.8494094409
PWY-7055: daphnetin modification|g__Enterobacter.s__Enterobacter_cloacae	2.6709608736
PWY-7055: daphnetin modification|g__Streptococcus.s__Streptococcus_parasanguinis	2.3904004895
PWY-7055: daphnetin modification|g__Pseudomonas.s__Pseudomonas_fragi	2.2141936185
PWY-7055: daphnetin modification|g__Staphylococcus.s__Staphylococcus_haemolyticus	2.0708214526
PWY-7055: daphnetin modification|g__Haemophilus.s__Haemophilus_haemolyticus	1.8491196364
PWY-7055: daphnetin modification|g__Staphylococcus.s__Staphylococcus_caprae_capitis	1.8079097142
PWY-7055: daphnetin modification|g__Staphylococcus.s__Staphylococcus_hominis	1.7165767484
PWY-7055: daphnetin modification|g__Streptococcus.s__Streptococcus_intermedius	1.3687125083
PWY-7055: daphnetin modification|g__Corynebacterium.s__Corynebacterium_jeikeium	1.2357120791
PWY-7055: daphnetin modification|g__Escherichia.s__Escherichia_coli	1.1599001851
PWY-7055: daphnetin modification|g__Corynebacterium.s__Corynebacterium_matruchotii	1.0902307846
PWY-3841: folate transformations II	500.8340063036
PWY-3841: folate transformations II|unclassified	64.5537428677
PWY-3841: folate transformations II|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	31.7836734046
PWY-3841: folate transformations II|g__Streptococcus.s__Streptococcus_sanguinis	15.3075620191
PWY-3841: folate transformations II|g__Haemophilus.s__Haemophilus_parainfluenzae	12.6117955868
PWY-3841: folate transformations II|g__Streptococcus.s__Streptococcus_thermophilus	4.8886724804
PWY-3841: folate transformations II|g__Lactococcus.s__Lactococcus_lactis	3.0940594059
PWY-3841: folate transformations II|g__Staphylococcus.s__Staphylococcus_hominis	2.5839793282
PWY-3841: folate transformations II|g__Haemophilus.s__Haemophilus_haemolyticus	0.6858578588
ARGSYNBSUB-PWY: arginine biosynthesis II (acetyl cycle)	447.4883578860
ARGSYNBSUB-PWY: arginine biosynthesis II (acetyl cycle)|g__Propionibacterium.s__Propionibacterium_acnes	245.0369852241
ARGSYNBSUB-PWY: arginine biosynthesis II (acetyl cycle)|unclassified	40.3129549601
ARGSYNBSUB-PWY: arginine biosynthesis II (acetyl cycle)|g__Streptococcus.s__Streptococcus_sanguinis	21.5860625700
ARGSYNBSUB-PWY: arginine biosynthesis II (acetyl cycle)|g__Streptococcus.s__Streptococcus_thermophilus	13.8661304678
ARGSYNBSUB-PWY: arginine biosynthesis II (acetyl cycle)|g__Actinomyces.s__Actinomyces_viscosus	13.7670227337
ARGSYNBSUB-PWY: arginine biosynthesis II (acetyl cycle)|g__Neisseria.s__Neisseria_sicca	10.9352581952
ARGSYNBSUB-PWY: arginine biosynthesis II (acetyl cycle)|g__Enhydrobacter.s__Enhydrobacter_aerosaccus	8.2765090945
ARGSYNBSUB-PWY: arginine biosynthesis II (acetyl cycle)|g__Micrococcus.s__Micrococcus_luteus	8.1627258679
ARGSYNBSUB-PWY: arginine biosynthesis II (acetyl cycle)|g__Actinomyces.s__Actinomyces_oris	8.0265268714
ARGSYNBSUB-PWY: arginine biosynthesis II (acetyl cycle)|g__Lactococcus.s__Lactococcus_lactis	6.8970828526
ARGSYNBSUB-PWY: arginine biosynthesis II (acetyl cycle)|g__Pseudomonas.s__Pseudomonas_psychrotolerans	4.6987756292
ARGSYNBSUB-PWY: arginine biosynthesis II (acetyl cycle)|g__Streptococcus.s__Streptococcus_salivarius	2.8221274257
ARGSYNBSUB-PWY: arginine biosynthesis II (acetyl cycle)|g__Malassezia.s__Malassezia_globosa	2.6092628832
ARGSYNBSUB-PWY: arginine biosynthesis II (acetyl cycle)|g__Corynebacterium.s__Corynebacterium_accolens	2.3231386798
ARGSYNBSUB-PWY: arginine biosynthesis II (acetyl cycle)|g__Staphylococcus.s__Staphylococcus_epidermidis	2.2746508760
ARGSYNBSUB-PWY: arginine biosynthesis II (acetyl cycle)|g__Neisseria.s__Neisseria_macacae	2.2133032467
ARGSYNBSUB-PWY: arginine biosynthesis II (acetyl cycle)|g__Rhodopseudomonas.s__Rhodopseudomonas_palustris	1.8501387604
ARGSYNBSUB-PWY: arginine biosynthesis II (acetyl cycle)|g__Corynebacterium.s__Corynebacterium_matruchotii	1.8467220683
ARGSYNBSUB-PWY: arginine biosynthesis II (acetyl cycle)|g__Kocuria.s__Kocuria_rhizophila	1.8025983973
ARGSYNBSUB-PWY: arginine biosynthesis II (acetyl cycle)|g__Lautropia.s__Lautropia_mirabilis	1.5160562612
ARGSYNBSUB-PWY: arginine biosynthesis II (acetyl cycle)|g__Propionibacterium.s__Propionibacterium_avidum	1.5101422519
ARGSYNBSUB-PWY: arginine biosynthesis II (acetyl cycle)|g__Corynebacterium.s__Corynebacterium_jeikeium	1.1995801469
ARGSYNBSUB-PWY: arginine biosynthesis II (acetyl cycle)|g__Corynebacterium.s__Corynebacterium_durum	1.1605551926
ARGSYNBSUB-PWY: arginine biosynthesis II (acetyl cycle)|g__Acinetobacter.s__Acinetobacter_ursingii	1.1557179245
ARGSYNBSUB-PWY: arginine biosynthesis II (acetyl cycle)|g__Streptococcus.s__Streptococcus_gordonii	0.8673192661
DAPLYSINESYN-PWY: lysine biosynthesis I	446.3082798744
DAPLYSINESYN-PWY: lysine biosynthesis I|g__Propionibacterium.s__Propionibacterium_acnes	287.2308400454
DAPLYSINESYN-PWY: lysine biosynthesis I|unclassified	26.3069274942
DAPLYSINESYN-PWY: lysine biosynthesis I|g__Corynebacterium.s__Corynebacterium_pseudogenitalium	14.9166091322
DAPLYSINESYN-PWY: lysine biosynthesis I|g__Corynebacterium.s__Corynebacterium_tuberculostearicum	14.5318551082
DAPLYSINESYN-PWY: lysine biosynthesis I|g__Micrococcus.s__Micrococcus_luteus	13.5748313052
DAPLYSINESYN-PWY: lysine biosynthesis I|g__Enhydrobacter.s__Enhydrobacter_aerosaccus	8.6655847109
DAPLYSINESYN-PWY: lysine biosynthesis I|g__Haemophilus.s__Haemophilus_parainfluenzae	7.5690305834
DAPLYSINESYN-PWY: lysine biosynthesis I|g__Haemophilus.s__Haemophilus_paraphrohaemolyticus	4.8484848485
DAPLYSINESYN-PWY: lysine biosynthesis I|g__Neisseria.s__Neisseria_sicca	4.7229480798
DAPLYSINESYN-PWY: lysine biosynthesis I|g__Corynebacterium.s__Corynebacterium_accolens	4.6032227990
DAPLYSINESYN-PWY: lysine biosynthesis I|g__Corynebacterium.s__Corynebacterium_aurimucosum	3.6057716693
DAPLYSINESYN-PWY: lysine biosynthesis I|g__Pseudomonas.s__Pseudomonas_psychrotolerans	3.5457994949
DAPLYSINESYN-PWY: lysine biosynthesis I|g__Haemophilus.s__Haemophilus_haemolyticus	3.3688071957
DAPLYSINESYN-PWY: lysine biosynthesis I|g__Kocuria.s__Kocuria_rhizophila	2.2915611640
DAPLYSINESYN-PWY: lysine biosynthesis I|g__Rhodopseudomonas.s__Rhodopseudomonas_palustris	2.2033776672
DAPLYSINESYN-PWY: lysine biosynthesis I|g__Rothia.s__Rothia_mucilaginosa	1.7375695386
DAPLYSINESYN-PWY: lysine biosynthesis I|g__Corynebacterium.s__Corynebacterium_durum	1.6638935108
DAPLYSINESYN-PWY: lysine biosynthesis I|g__Lautropia.s__Lautropia_mirabilis	1.6529417630
DAPLYSINESYN-PWY: lysine biosynthesis I|g__Haemophilus.s__Haemophilus_influenzae	1.5640092173
DAPLYSINESYN-PWY: lysine biosynthesis I|g__Enterobacter.s__Enterobacter_cloacae	1.3929247832
DAPLYSINESYN-PWY: lysine biosynthesis I|g__Corynebacterium.s__Corynebacterium_jeikeium	1.2176832238
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I	435.3210585756
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I|unclassified	41.3200866231
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	30.6702662196
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I|g__Streptococcus.s__Streptococcus_sanguinis	19.7046089667
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I|g__Corynebacterium.s__Corynebacterium_tuberculostearicum	9.6966735009
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I|g__Streptococcus.s__Streptococcus_thermophilus	8.8112627825
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I|g__Staphylococcus.s__Staphylococcus_epidermidis	8.1896267236
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I|g__Haemophilus.s__Haemophilus_parainfluenzae	7.8402394437
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I|g__Abiotrophia.s__Abiotrophia_defectiva	7.7065279743
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I|g__Corynebacterium.s__Corynebacterium_pseudogenitalium	7.5716127035
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I|g__Lactococcus.s__Lactococcus_lactis	6.8112832715
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I|g__Enhydrobacter.s__Enhydrobacter_aerosaccus	6.5159167927
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I|g__Propionibacterium.s__Propionibacterium_acnes	6.4541185008
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I|g__Staphylococcus.s__Staphylococcus_hominis	4.1612628094
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I|g__Corynebacterium.s__Corynebacterium_accolens	3.8371800219
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I|g__Neisseria.s__Neisseria_sicca	3.8158646464
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I|g__Streptococcus.s__Streptococcus_salivarius	2.5533270077
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I|g__Corynebacterium.s__Corynebacterium_aurimucosum	2.4498695582
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I|g__Neisseria.s__Neisseria_macacae	2.3146569166
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I|g__Enterobacter.s__Enterobacter_cloacae	1.5987339173
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I|g__Streptococcus.s__Streptococcus_infantis	1.3796962476
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I|g__Staphylococcus.s__Staphylococcus_haemolyticus	1.3536895257
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I|g__Haemophilus.s__Haemophilus_paraphrohaemolyticus	1.3488450514
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I|g__Fusobacterium.s__Fusobacterium_nucleatum	1.1667250029
